,site_name_act,site_name,rts,rel_inf_corr,max_sto,group,lat,long,geometry,dist,nid_idx,Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
34,BlueRidge,BlueRidge,70.16112475458202,0.1388432405785669,194.36429752066115,high_rt,34.8825,-84.28,POINT (-84.28 34.8825),0.0015000000000000568,7727.0,BLUE RIDGE,LAKE TOCCOA,,GA11101,0.0,,-84.28,34.881,,FANNIN,TOCCOA RIVER,TVA,Federal,N,TN ELECTRIC POWER,Earth,IEK,RSK,Hydroelectric,"Hydroelectric, Recreation",1930.0,1995,985.0,172.0,183.0,175.0,183.0,100000.0,228045.0,182436.0,228045.0,3220.0,232.0,Y,7/25/2011,5.0,C,176.0,T,,,0.0,,N,N,N,N,N,,,,,TVA,TVA,TVA,TVA,,TVA,GA,02\27\2013,,Doug Collins (R),R,GA09
35,Boone,Boone,15.52351218785568,0.849876436363245,191.81553719008264,low_rt,36.44,-82.43777778,POINT (-82.43777778 36.44),0.0005222199999934674,19369.0,BOONE,BOONE LAKE,,TN16306,0.0,,-82.4383,36.44,,SULLIVAN; WASHINNGTON,SOUTH FORK HOLSTON RIVER,TVA,Federal,N,TVA,,,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1952.0,1984,1532.0,160.0,160.0,153.0,160.0,168000.0,216147.0,180453.0,216147.0,4130.0,1840.0,Y,12/8/2009,5.0,C,175.0,T;S,775738.0,,0.0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
36,Chatuge,Chatuge,118.37424800069972,0.2594514829163973,236.03504132231407,high_rt,35.0175,-83.79111111,POINT (-83.79111111 35.0175),0.0005121966732649803,14154.0,CHATUGE,CHATUGE LAKE,CLAY-003,NC00391,3.0,,-83.791,35.018,,CLAY,HIWASSEE RIVER,TVA,Federal,N,TVA,Earth,IEK,SK,Flood Control,"Hydroelectric, Flood Control, Recreation",1942.0,1986,2850.0,144.0,150.0,132.0,150.0,40000.0,285552.0,226062.0,285552.0,6700.0,189.0,Y,5/12/2010,5.0,C,325.0,L,2373600.0,,0.0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
37,Cherokee,Cherokee,56.24388782173456,0.3783724073878557,1473.8023140495868,high_rt,36.16611111,-83.49833333,POINT (-83.49833332999999 36.16611111),0.0004900248167178164,14426.0,CHEROKEE,CHEROKEE LAKE,,TN08903,3.0,,-83.4983,36.1666,,JEFFERSON; GRAINGER,HOLSTON RIVER,TVA,Federal,N,TVA,,HCKIEK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1941.0,1985,6760.0,,175.0,168.0,175.0,315000.0,1699431.0,1421811.0,1699431.0,29560.0,3428.0,Y,4/1/2011,5.0,C,360.0,T,3998300.0,,0.0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,John J. Duncan Jr. (R),R,TN02
38,Chikamauga,Chikamauga,4.05554588540034,0.9560403309619556,844.4687603305786,low_rt,35.10388889,-85.22944444,POINT (-85.22944443999999 35.10388889),0.0008095914684048862,13249.0,CHICKAMAUGA,CHICKAMAUGA LAKE,,TN06504,0.0,,-85.23,35.1033,,HAMILTON,TENNESSEE RIVER,TVA,Federal,N,TVA,,HEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1940.0,,5800.0,,129.0,84.0,129.0,614000.0,943908.0,622662.0,943908.0,36050.0,20790.0,Y,,5.0,C,720.0,L,3299900.0,,360.0,60.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
39,Douglas,Douglas,28.419806385213896,0.3304186003998692,1452.99173553719,low_rt,35.96111111,-83.53888889,POINT (-83.53888889 35.96111111),0.0021917063818318303,14438.0,DOUGLAS,DOUGLAS LAKE,,TN15501,12.0,,-83.5383,35.959,,SEVIER,FRENCH BROAD RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Water Supply, Recreation",1943.0,1987,1705.0,,202.0,147.0,202.0,422000.0,1626060.0,1223511.0,1626060.0,28070.0,4541.0,Y,5/30/2011,5.0,C,440.0,T,1388100.0,,0.0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
40,Fontana,Fontana,73.79963114965294,0.3368883462091075,1443.5127272727273,high_rt,35.45222222,-83.80472222,POINT (-83.80472222 35.45222222),0.0011130011036801898,14157.0,FONTANA,FONTANA LAKE,GRAHA-002,NC00298,0.0,,-83.805,35.4533,,SWAIN; GRAHAM,LITTLE TENNESSEE RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Water Supply, Recreation",1944.0,1973SE; 1976S; 1983S; 1999SE; 2000S; 2003H,2365.0,455.0,480.0,463.0,480.0,189000.0,1552689.0,1370253.0,1552689.0,10290.0,1571.0,Y,12/9/2010,5.0,C,140.0,T,3563600.0,,0.0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
41,FtLoudoun,FtLoudoun,4.493439178164517,0.9808530288187494,408.1725619834711,low_rt,35.79083333,-84.2425,POINT (-84.24250000000001 35.79083333),0.001108053648928507,14437.0,FORT LOUDOUN,FORT LOUDOUN LAKE,,TN10501,1.0,,-84.2433,35.7916,,LOUDON,TENNESSEE RIVER,TVA,Federal,N,TVA,,HEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1943.0,1989,4190.0,,125.0,98.0,125.0,495000.0,475920.0,362889.0,475920.0,14000.0,9550.0,Y,10/30/2008,5.0,C,560.0,T,4180700.0,,360.0,60.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,John J. Duncan Jr. (R),R,TN02
42,FtPatrick,FtPatrick,2.578731258744622,0.9828502560772838,27.06644628099173,low_rt,36.49777778,-82.50833333,POINT (-82.50833333 36.49777778),0.0022224699361971826,22814.0,FORT PATRICK HENRY,FORT PATRICK HENRY LAKE,,TN16307,0.0,,-82.5083,36.5,,SULLIVAN,SOUTH FORK HOLSTON RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1953.0,,624.5,90.0,95.0,83.0,95.0,164000.0,31728.0,25779.0,31728.0,840.0,1903.0,Y,12/8/2009,5.0,C,175.0,T,84200.0,,0.0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
43,Guntersville,Guntersville,6.089700358515863,0.9511731635719428,1504.9368595041324,low_rt,34.42111111,-86.39305556,POINT (-86.39305555999999 34.42111111),0.0005465934007113691,11001.0,GUNTERSVILLE,GUNTERSVILLE LAKE,,AL09501,1.0,,-86.3933,34.4216,,MARSHALL,TENNESSEE RIVER,TVA,Federal,N,TVA,,HEK,RSK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1939.0,1952 M; 1965 S; 1995 S,3979.0,78.0,94.0,78.0,94.0,568000.0,1405947.0,1019262.0,1405947.0,66000.0,24450.0,Y,3/26/2008,5.0,C,720.0,L,1145137.0,,600.0,110.0,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,AL,02\27\2013,,Robert B. Aderholt (R),R,AL04
44,Hiwassee,Hiwassee,34.102061574093526,0.425133071536573,435.3719008264463,high_rt,35.15138889,-84.1775,POINT (-84.17749999999999 35.15138889),0.0007895919402475634,12117.0,HIWASSEE,HIWASSEE LAKE,CHERO-007,NC00419,0.0,,-84.178,35.152,,CHEROKEE,HIWASSEE RIVER,TVA,Federal,N,TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1940.0,1992SE; 1993S; 1994S; 1996S; 2002S; 2004S,1376.0,248.0,307.0,254.0,307.0,149000.0,471954.0,398583.0,471954.0,5870.0,968.0,Y,4/15/2010,5.0,C,224.0,T,800800.0,,0.0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,NC,02\27\2013,,Mark Meadows (R),R,NC11
45,Kentucky,Kentucky,10.99058657125046,0.8745198308941118,5649.223140495868,low_rt,37.01305556,-88.26916667,POINT (-88.26916667 37.01305556),0.04990359600071968,41476.0,BARKLEY DAM,LAKE BARKLEY,940,KY03001,0.0,,-88.22,37.0216,,LYON,CUMBERLAND,CELRN,Federal,N,CELRN,Earth,E,S,Hydroelectric,"Hydroelectric, Flood Control, Navigation, Recreation",1966.0,,10180.0,,157.0,109.0,157.0,520000.0,2082000.0,869000.0,2082000.0,57920.0,17598.0,Y,4/20/2011,5.0,C,660.0,,2833365.0,,800.0,110.0,N,N,N,N,N,,CE,CE,CE,CE,CE,CE,CE,CE,CE,KY,02\27\2013,,Ed Whitfield (R),R,KY01
46,MeltonH,MeltonH,5.894456197916696,0.9472020155170834,123.99272727272728,low_rt,35.88527778,-84.3,POINT (-84.3 35.88527778),0.0002777800000046682,35855.0,MELTON HILL,MELTON HILL LAKE,,TN10502,0.0,,-84.3,35.885,,LOUDON; ROANE,CLINCH RIVER,TVA,Federal,N,TVA,,HCK,RK,Hydroelectric,"Hydroelectric, Navigation, Water Supply, Recreation",1963.0,1988O,1020.0,,103.0,69.0,103.0,121000.0,150708.0,105099.0,150708.0,5690.0,3343.0,Y,3/10/2011,5.0,C,120.0,T,246800.0,,400.0,75.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,John J. Duncan Jr. (R),R,TN02
47,Nikajack,Nikajack,1.7694106085104475,0.9939865094482346,392.9295867768595,low_rt,35.00416667,-85.61944444,POINT (-85.61944444 35.00416667),0.0033517508562673336,44046.0,NICKAJACK,NICKAJACK LAKE,,TN11502,0.0,,-85.6216,35.0016,,MARION,TENNESSEE RIVER,TVA,Federal,N,TVA,,,RSK,Hydroelectric,"Hydroelectric, Navigation, Recreation",1967.0,1992O,3767.0,,81.0,74.0,81.0,495000.0,402549.0,246130.0,402549.0,10200.0,21870.0,Y,3/28/2012,5.0,C,400.0,T,1601000.0,,600.0,110.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Scott DesJarlais (R),R,TN04
48,Norris,Norris,98.64839541575944,0.2651418336499671,2407.418181818181,high_rt,36.22416667,-84.09138889,POINT (-84.09138889 36.22416667),0.0008920113906217804,13247.0,NORRIS,NORRIS LAKE,,TN01302,1.0,,-84.0916,36.2233,,CAMPBELL; ANDERSON,CLINCH RIVER,TVA,Federal,N,TVA,,K,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1936.0,,1860.0,,265.0,238.0,265.0,250000.0,3363168.0,2040507.0,3363168.0,34000.0,2912.0,Y,6/30/2009,5.0,C,300.0,D;S,1184000.0,,0.0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
49,Nottely,Nottely,85.62923388504285,0.1929431327713737,169.55305785123966,high_rt,34.95861111,-84.08777778,POINT (-84.08777778 34.95861111),0.0009891396061681049,14568.0,NOTTELY/SADDLE DAM NO. 1,NOTTELY LAKE,,GA29101,0.0,S001,-84.087,34.958,,UNION,NOTTELY RIVER,TVA,Federal,N,TVA,,IEK,SK,Flood Control,"Hydroelectric, Flood Control, Recreation",1942.0,1988,340.0,53.5,53.5,34.29,53.5,,,,,,,Y,11/15/2011,5.0,N,0.0,X,,,0.0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,GA,02\27\2013,,Doug Collins (R),R,GA09
50,Ocoee1,Ocoee1,15.391133223030351,0.8479112985826255,88.77223140495867,low_rt,35.09472222,-84.64777778,POINT (-84.64777778 35.09472222),0.0005915027107348414,6848.0,OCOEE NO. 1,PARKSVILLE LAKE,,TN13905,0.0,,-84.6483,35.095,,POLK,OCOEE RIVER,TVA,Federal,N,TN ELECTRIC POWER,,ICK,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1911.0,1914 M; 1930 M; 1937 M; 1975 S,840.0,127.0,135.0,117.0,135.0,26620.0,48350.0,79320.0,79320.0,1620.0,595.0,Y,6/12/2012,5.0,U,362.0,S,,,0.0,,N,N,N,N,N,NONE,,,,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
51,Ocoee3,Ocoee3,0.7599816689936809,0.9650966280184032,4.310082644628099,ror,35.04055556,-84.46666667,POINT (-84.46666667 35.04055556),0.009272286438762649,14440.0,OCOEE NO. 3,OCOEE NO.3 LAKE,,TN13903,0.0,,-84.46,35.047,,POLK,OCOEE RIVER,TVA,Federal,N,TVA,,ICK,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1942.0,00-Jan-00,612.1,83.0,110.0,78.0,110.0,134000.0,7932.0,3966.0,7932.0,600.0,492.0,Y,9/15/2011,5.0,C,260.0,T,82500.0,,0.0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Charles J. ???Chuck??? Fleischma,R,TN03
52,Pickwick,Pickwick,4.010567631891506,0.9770473761534788,1206.1487603305786,low_rt,35.06388889,-88.24722222,POINT (-88.24722222 35.06388889),0.00671280322670806,13246.0,PICKWICK LANDING,PICKWICK LAKE; PICKWICK,,TN07101,0.0,,-88.25,35.07,,HARDIN,TENNESSEE RIVER,TVA,Federal,N,TVA,,CK,RS,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1938.0,,7969.0,51.0,113.0,91.0,113.0,834000.0,1546740.0,1118412.0,1546740.0,42700.0,32820.0,Y,6/21/2011,5.0,C,1141.0,L,3711600.0,,1000.0,110.0,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Marsha Blackburn (R),R,TN07
53,SHolston,SHolston,153.40137463862408,0.2016629762114366,683.2105785123966,high_rt,36.52333333,-82.08888889,POINT (-82.08888889000001 36.52333333),0.0039031492824512714,19371.0,SOUTH HOLSTON,SOUTH HOLSTON LAKE,,TN16305,2.0,,-82.085,36.523,,SULLIVAN,SOUTH FORK HOLSTON RIVER,TVA,Federal,N,TVA,,IEK,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1950.0,,1600.0,285.0,285.0,275.0,285.0,114000.0,890367.0,658356.0,890367.0,7600.0,703.0,Y,7/31/2009,5.0,U,385.0,U;S;V,5897440.0,,0.0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
54,TimsFord,TimsFord,127.45739266738694,0.3008456836298432,601.6859504132233,high_rt,35.19694444,-86.27861111,POINT (-86.27861111 35.19694444),0.13846877495791346,13252.0,LINCOLN LAKE,,527003,TN10303,0.0,,-86.3916,35.1169,,LINCOLN,SHELTON CREEK,LINCOLN LAKE CORPORATION,Private,N,USDA SCS,Earth,HEK,SK,Recreation,"Recreation, Fire Protection, Stock, Or Small Fish Pond",1940.0,0,592.0,16.39,18.0,12.69,18.0,380.0,305.0,203.0,305.0,40.0,4.68,NR,8/15/2011,3.0,U,0.0,X,32911.0,,0.0,,Y,Y,Y,Y,Y,TENN SAFE DAMS PRG,,USDA NRCS,,,,,,,TN,TN,01\23\2013,,Scott DesJarlais (R),R,TN04
55,Watauga,Watauga,191.51098254373903,0.1685512287202662,621.9510743801653,high_rt,36.32333333,-82.12194444,POINT (-82.12194443999999 36.32333333),0.003958499185610812,16464.0,WATAUGA,WATAUGA LAKE,,TN01903,0.0,,-82.118,36.323,,CARTER,WATAUGA RIVER,TVA,Federal,N,TVA,,IEK,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1948.0,1983,900.0,332.0,332.0,308.0,332.0,54000.0,751557.0,569121.0,751557.0,6440.0,468.0,Y,,5.0,U,385.0,U;S;V,3562670.0,,0.0,,N,N,N,N,N,NONE,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
56,WattsBar,WattsBar,8.869370215320217,0.9289364039258649,1287.901487603306,low_rt,35.62138889,-84.78138889,POINT (-84.78138889 35.62138889),0.0021271320749308995,14566.0,WATTS BAR/SADDLE DAM NO. 1,WATTS BAR LAKE,,TN12102,0.0,S002,-84.783,35.62,,MEIGS; RHEA,TENNESSEE RIVER,TVA,Federal,N,TVA,Earth,IEK,RS,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1942.0,,1400.0,,7.0,,7.0,,,,,,,Y,8/9/2011,5.0,N,0.0,X,17609.0,,0.0,,N,N,N,N,N,,,TVA,TVA,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,Scott DesJarlais (R),R,TN04
57,Wheeler,Wheeler,4.808694460462622,0.9497133016573694,1570.9130578512395,low_rt,34.80694444,-87.38194444,POINT (-87.38194444 34.80694444),0.008651299429986034,11004.0,WHEELER,WHEELER LAKE,,AL07701,0.0,,-87.3816,34.7983,,LAUDERDALE; LAWRENCE,TENNESSEE RIVER,TVA,Federal,N,DOI BR;TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Recreation",1936.0,1982,6342.0,70.0,72.0,68.0,72.0,777000.0,1358355.0,1049007.0,1358355.0,67070.0,29590.0,Y,5/14/2009,5.0,C,2400.0,T,1150600.0,,600.0,110.0,N,N,N,N,N,,,DOI BR;TVA;CE,TVA;CE,TVA,TVA,TVA,TVA,,TVA,AL,02\27\2013,,Robert B. Aderholt (R),R,AL04
58,Wilbur,Wilbur,0.1718085701679501,0.9968471856616832,0.7259504132231405,ror,36.34106,-82.12624,POINT (-82.12624 36.34106),0.0037764004024944385,6854.0,WILBUR,WILBUR LAKE,,TN01904,0.0,,-82.123,36.343,,CARTER,WATAUGA RIVER,TVA,Federal,N,EAST TN LIGHT & POWER;TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Recreation",1912.0,1950,375.5,47.0,76.32,71.0,76.32,39040.0,873.0,594.89,873.0,70.0,480.0,Y,9/19/2007,5.0,C,160.0,T,20889.0,,0.0,,N,N,N,N,N,NONE,,,,TVA,TVA,TVA,TVA,,TVA,TN,02\27\2013,,David P. Roe (R),R,TN01
59,Wilson,Wilson,3.1082658648050274,0.9977870618084094,641.337520661157,low_rt,34.80083333,-87.62583333,POINT (-87.62583333000001 34.80083333),0.005892552738654776,7362.0,WILSON,WILSON LAKE,,AL07702,0.0,,-87.625,34.795,,LAUDERDALE; COLBERT,TENNESSEE RIVER,TVA,Federal,N,COE; TVA,,HCK,RK,Flood Control,"Hydroelectric, Flood Control, Navigation, Water Supply, Recreation",1924.0,1942 S; 1956 S; 1962 M 1964 M; 1968 M,4541.0,113.0,137.0,103.0,137.0,893000.0,674220.0,636543.0,674220.0,15600.0,30750.0,Y,5/22/2008,5.0,C,1862.0,L,1328800.0,,600.0,110.0,N,N,N,N,N,,,,,TVA,TVA,TVA,TVA,,TVA,AL,02\27\2013,,Robert B. Aderholt (R),R,AL04
60,Blue Mesa,BLUE MESA,431.0402818546426,0.3556556536052196,831.720813,high_rt,38.45367,-107.333611,POINT (-107.333611 38.45367),0.0006955724261297289,38327.0,BLUE MESA,,620102,CO01675,0.0,,-107.3342,38.4533,"S4 , T48N, R4W of New Mexico PM",GUNNISON,GUNNISON RIVER,DOI BR,Federal,N,,Earth,IEK,RK,Flood Control,"Irrigation, Hydroelectric, Flood Control, Recreation",1965.0,,785.0,390.0,390.0,342.0,390.0,33800.0,940700.0,748430.0,940700.0,9180.0,3470.0,Y,8/30/2011,1.0,C,50.0,T;T;R;L;L,3080000.0,,0.0,,Y,Y,Y,Y,Y,DWR,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,CO,03\01\2013,,Scott R. Tipton (R),R,CO03
61,Causey,CAUSEY,98.3637804500296,0.940553213307303,7.267,high_rt,41.298333,-111.587222,POINT (-111.587222 41.298333),0.0006228747867679069,42507.0,BOR CAUSEY,,UT10116,UT10116,0.0,,-111.5866,41.2983,"34,7N~3E SL",WEBER,SOUTH FORK OGDEN RIVER,DOI BR,Federal,N,,Earth,,,Irrigation,Irrigation,1966.0,,900.0,,218.0,180.0,218.0,790.0,8730.0,7870.0,8730.0,,79.9,Y,,0.0,U,0.0,,,,0.0,,Y,Y,Y,N,N,,,,,,,,,,UT,UT,02\06\2013,,Rob Bishop (R),R,UT01
62,Crystal,CRYSTAL,10.525296151772936,0.9902205740658842,20.097,low_rt,38.510689,-107.625167,POINT (-107.625167 38.510689),0.0013800036231853734,58352.0,CRYSTAL,,620106,CO00387,0.0,,-107.6238,38.5105,"S14 , T49N, R7W of New Mexico PM",MONTROSE,GUNNISON RIVER,U. S. BUREAU OF RECLAMATION,Federal,N,,,HCK,RK,Hydroelectric,Hydroelectric,1977.0,,635.0,227.0,323.0,227.0,323.0,41500.0,31440.0,26000.0,31440.0,340.0,3960.0,Y,1/1/2010,1.0,N,150.0,U;L;L;V;V,147000.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,CO,CO,02\04\2013,,Scott R. Tipton (R),R,CO03
63,Deer Creek,DEER CREEK,329.52095608452834,0.8027526867645576,151.972,high_rt,40.407034,-111.525821,POINT (-111.525821 40.407034),0.0008917381902880108,14519.0,BOR DEER CREEK,,UT10117,UT10117,0.0,,-111.5266,40.4066,"05,5S~4E SL",WASATCH,PROVO RIVER,DOI BR,Federal,N,,Earth,,,Irrigation,Irrigation,1941.0,,1304.0,,235.0,147.0,235.0,1485.0,158200.0,147000.0,158200.0,,545.0,N,,0.0,C,0.0,,,,0.0,,Y,Y,Y,N,N,,,,,,,,,,UT,UT,02\06\2013,,Jason Chaffetz (R),R,UT03
64,Dillon Reservoir,DILLON RESERVOIR,1038.6365151791692,0.8141699783463904,262.068,high_rt,,106.0551,POINT (106.0551 nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Echo,ECHO,164.8395135449738,0.8170267878827863,74.791,high_rt,40.963948,-111.430527,POINT (-111.430527 40.963948),0.0016224774266501163,9350.0,FLAMING GORGE,,UT10121,UT10121,0.0,,-109.4219,40.9149,,DAGGETT,GREEN RIVER,DOI BR,Federal,N,,,A,RK,Flood Control,"Hydroelectric, Flood Control, Water Supply, Recreation",1963.0,,1285.0,502.0,502.0,448.0,502.0,28800.0,4003100.0,3788900.0,4003100.0,43820.0,15000.0,Y,4/26/2011,1.0,C,48.0,,986600.0,,0.0,,N,N,N,N,N,,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,UT,03\01\2013,,Rob Bishop (R),R,UT01
66,Flaming Gorge,FLAMING GORGE,1408.0163197647755,0.4550971966353772,3913.631,high_rt,40.915665,-109.420471,POINT (-109.420471 40.915665),0.001620884326519078,36163.0,FONTENELLE,ENL OF 6629R,9502R,WY01389,0.0,,-110.0597,42.0286,"SESE 25,T24N,R112W","LINCOLN, SWEETWATER",GREEN RIVER,DOI BR,Federal,N,DOI BR,Earth,IEK,SZ,Fish and Wildlife Pond,"Hydroelectric, Water Supply, Recreation, Fish and Wildlife Pond",1963.0,1989,5421.0,139.0,139.0,121.0,139.0,20000.0,405160.0,345360.0,405160.0,8058.0,4175.0,Y,7/24/2008,1.0,U,300.0,V3,5265000.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,WY,WY,02\06\2013,,Cynthia M. Lummis (R),R,WY00
67,Fontenelle,FONTENELLE,119.20393417662656,0.8744793497320477,369.018,high_rt,42.028371,-110.065625,POINT (-110.065625 42.028371),0.005929423749394858,36233.0,HYRUM,,UT10123,UT10123,1.0,,-111.8732,41.624,,CACHE,LITTLE BEAR RIVER,DOI BR,Federal,N,,Earth,,,Irrigation,"Irrigation, Water Supply, Recreation",1934.0,,540.0,116.0,116.0,82.0,116.0,6000.0,18685.0,18685.0,18685.0,480.0,220.0,Y,9/20/2011,1.0,C,48.0,,430000.0,,0.0,,N,N,N,N,N,,DOI BR,USDA FS,USDA FS,USDA FS;DOI BR,DOI BR,DOI BR,DOI BR,USDA FS,DOI BR,UT,03\01\2013,,Rob Bishop (R),R,UT01
68,Hyrum,HYRUM,114.95200401330148,0.8968027122878777,14.937,high_rt,41.623799,-111.871746,POINT (-111.871746 41.623799),0.0014678273059145232,10771.0,BOR JORDANELLE,,UT10204,UT10204,0.0,,-111.4233,40.5966,"31,3S~5E SL",WASATCH,PROVO,DOI BR,Federal,N,,Earth,,,Water Supply,Water Supply,1993.0,,3700.0,,300.0,297.0,300.0,3800.0,,372000.0,372000.0,,,N,,0.0,,0.0,,,,0.0,,Y,Y,Y,N,N,,,,,,,,,,UT,UT,02\06\2013,,Jason Chaffetz (R),R,UT03
69,Jordanelle,JORDANELLE,694.7859926325857,0.8347320744113494,316.023,high_rt,40.599261,-111.422917,POINT (-111.422917 40.599261),0.0026884214699298076,68534.0,GLEN CANYON,,,AZ10307,0.0,,-111.4842,36.9379,,COCONINO,COLORADO RIVER,DOI BR,Federal,N,,,A,RK,Hydroelectric,"Irrigation, Hydroelectric, Recreation, Other",1963.0,,1565.0,710.0,710.0,579.0,710.0,276000.0,29875000.0,27000000.0,29875000.0,160784.0,108355.0,Y,8/25/2011,1.0,C,160.0,,4901000.0,,0.0,,N,N,N,N,N,,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,AZ,03\01\2013,,Ann Kirkpatrick (D),D,AZ01
70,Lake Powell,LAKE POWELL,1154.1032577885371,0.3965153072434388,25695.2,high_rt,36.939635,-111.485228,POINT (-111.485228 36.939635),0.002016682672118505,34525.0,LEMON,,300111,CO01688,0.0,,-107.661,37.3819,"S20 , T36N, R7W of New Mexico PM",LA PLATA,FLORIDA RIVER,DOI BR,Federal,N,,,A,RK,Fish and Wildlife Pond,"Irrigation, Hydroelectric, Recreation, Fish and Wildlife Pond",1962.0,,1360.0,284.0,284.0,196.0,284.0,,487660.0,40146.0,487660.0,622.0,68.0,Y,8/29/2012,1.0,N,0.0,,3042000.0,,0.0,,Y,Y,Y,Y,Y,DWR,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,CO,03\01\2013,,Scott R. Tipton (R),R,CO03
