Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
GILLETTE,BURLINGTON LAKE,1046R,WY01033,0,,-105.49,44.2983,"SWNE 22,T50N,R72W",CAMPBELL,STONEPILE CREEK TRIB DONKEY CR,CITY OF GILLETTE,Local Government,N,E.J. ROBINSON,Earth,HEK,SZ,Water Supply,Water Supply,1908,,3200,10,10,5,10,NA,2680,2080,2680,145,NA,NR,40519,5,N,0,,59319,NA,0,NA,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
LITTLE SODA,,1141R,WY00871,0,,-104.6986,44.0427,"SWNW 20,T47N,R65W",WESTON,BOX ELDER OR LITTLE SODA CREEK,HOWARD & DIANA WHITE,Private,N,,Earth,HEK,SZ,Irrigation,"Irrigation, Fire Protection, Stock, Or Small Fish Pond",1909,,1026,16,16,11,16,NA,148,99,148,16.5,NA,NR,40767,5,U,30,V1,25433,NA,0,NA,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
HUNTINGTON,,0353R,WY00656,0,,-107.3522,44.9366,"SESW 3,T57N,R87W",SHERIDAN,DRY TWIN CREEK,TWIN CREEK RANCH,Private,N,,Earth,HEK,SZ,Irrigation,Irrigation,1906,,350,22,22,18,22,NA,146,104,146,12,NA,NR,39730,5,U,12,"U,V,1",3600,NA,0,NA,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
KINNEY,,0474R,WY00304,0,,-106.59,41.7716,"SESW 24,T21N,R82W",CARBON,DANA SPRINGS CREEK,NELLIE WALLIS TRUST C/O LAURA NELL ELLIS,Private,N,,Earth,HEK,SZ,Irrigation,Irrigation,1904,,520,20,20,15,20,NA,691,480,691,60,NA,NR,40331,5,U,300,"U,V,2",11481,NA,0,NA,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
SCHNOOR,,1214R,WY00212,0,,-106.4567,42.635,"SWSW 20,T31N,R80W",NATRONA,CAMP OR STINKING CREEK,GARRETT RANCH - PETE GARRETT,Private,N,,Earth,HEK,SZ,Irrigation,Irrigation,1910,,1275,19,20,15,20,NA,237,165,237,44,NA,NR,39721,5,U,200,V2,16350,NA,0,NA,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
LITTLE WILLOW,,0329R,WY00135,0,,-104.2525,41.8583,"SESE 24,T22N,R62W",GOSHEN,HORSE CREEK OFF STREAM,TOM HARPSTREITH,Private,N,,Earth,HEK,SZ,Irrigation,Irrigation,1906,,910,10,10,8,10,NA,216,108,216,54,NA,NR,39393,5,N,0,"U,V,1",9500,NA,0,NA,Y,Y,Y,Y,Y,SEO,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
EDEN WEST DIKE,,,WY01388,0,S002,-109.3961,42.214,,SWEETWATER,LITTLE SANDY CREEK,DOI BR,Federal,N,,Earth,A,RK,Irrigation,Irrigation,1907,,3500,25,25,1,25,NA,12190,14421,14421,1166,6,Y,40022,1,U,15,,92000,NA,0,NA,N,N,N,N,N,,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
EDEN DIKE 2,,,WY01388,0,S001,-109.3767,42.2399,,SWEETWATER,LITTLE SANDY CREEK OS,DOI BR,Federal,N,,Earth,A,RK,Irrigation,Irrigation,1907,,1270,11,11,6,11,NA,12190,12190,12190,1166,6,Y,40022,1,N,0,,NA,NA,0,NA,N,N,N,N,N,,,,,,,,,,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00
ATASCADERO PARK,,740,CA00723,0,,-120.6671,35.468,"S.27,T.28S,R.12E",SAN LUIS OBISPO,TR ATASCADERO CR,CITY OF ATASCADERO,Local Government,N,,Earth,,R,Recreation,"Water Supply, Recreation",1918,,500,18,NA,13,18,885,416,250,416,30,0.9,NR,41010,1,U,0,,20000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Lois Capps (D),D,CA24
RESERVOIR C,,9000.325,CA82492,0,,-120.772,41.66,"S.13,T.44N,R.10E",MODOC,TR CLOVER SWALE,FOREST SERVICE,Federal,N,,Earth,,,Recreation,Recreation,1911,,850,20,NA,18,20,NA,NA,2028,2028,NA,14.3,NR,,1,U,0,,NA,NA,0,NA,N,N,N,N,N,N/A,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
WISE FOREBAY,,02310-33-01,CA01593,1,,-121.0843,38.9129,"S.4,9,T.12N,R.8E",PLACER,AUBURN RAVINE,PACIFIC GAS AND ELECTRIC COMPANY,Private,N,,Earth,,,Hydroelectric,Hydroelectric,1913,,1741,20,20,16,20,100,32,32,32,4.4,NA,Y,41101,1,U,130,,37000,NA,0,NA,N,N,N,N,N,,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Tom McClintock (R),R,CA04
MANZANITA LAKE DAM,,9000.266,CA10266,0,,-121.57,40.535,,,,DOI NPS,Federal,N,,Earth,,,Fish and Wildlife Pond,"Fish and Wildlife Pond, Other",1911,,NA,13,NA,NA,13,NA,614,NA,614,NA,NA,Y,38448,0,,0,,NA,NA,0,NA,N,N,N,N,N,N/A,DOI NPS,,,DOI NPS,DOI BR,DOI NPS,DOI NPS,,DOI NPS,CA,02\27\2013,NA,Doug LaMalfa (R),R,CA01
RAINBOW DIVERSION,,9000.359,CA10359,0,,-122.6045,39.3706,,COLUSA,STONEY CREEK,DOI BR,Federal,N,,,A,RK,Irrigation,Irrigation,1913,,271,54,54,43,54,NA,100,100,100,NA,NA,N,,6,U,160,,2000,NA,0,NA,N,N,N,N,N,N/A,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,CA,03\01\2013,NA,John Garamendi (D),D,CA03
PORTER NO. 4,,CO0000599A,CO00617,0,,-108.1081,38.9267,,DELTA,OAK CREEK,CITY OF DELTA,Local Government,N,USDA NRCS,Earth,,,Irrigation,"Irrigation, Other",1918,1959,675,15,NA,NA,15,864,57,57,57,NA,0.406,NR,,0,,25,,NA,NA,0,NA,N,N,N,N,N,,,USDA NRCS,,,,,,,USDA NRCS,CO,03\08\2013,NA,Scott R. Tipton (R),R,CO03
LAKE ANN,DINKLE LAKE,380117,CO00683,0,,-107.1172,39.3033,"S4 , T9S, R87W of Sixth PM",PITKIN,WEST SOPRIS CREEK-OS,TYBAR RANCH CO. AND BIG 4 RANCH,Private,Y,BOND ENGINEERING,Earth,HEZ,RSZ,Irrigation,"Irrigation, Recreation",1912,1953SFMHO,580,40,42,40,42,1200,562,439,562,20,0.95,Y,41157,1,U,40,S1,58000,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
MCMAHON #2,RED DIRT RESERVOIR,500115,CO00703,0,,-106.5722,40.1783,"S34 , T3N, R82W of Sixth PM",GRAND,RED DIRT CREEK,MCMAHON RESERVOIR CO.,Private,Y,UNKNOWN; B.T. CHASE; MCLAUGHLIN WATER ENGINEERS,Earth,HEZ,RSZ,Irrigation,Irrigation,1913,1945SHM; 1999HM,987,48,48,48,48,1817,4570,3460,4570,196,14,Y,40816,2,U,25,S1,117563,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Jared Polis (D),D,CO02
SPRING PARK,MISSOURI HEIGHTS,380125,CO00684,0,,-107.0888,39.4355,"S22 , T7S, R87W of Sixth PM",EAGLE,BLUE CREEK-TR,MISSOURI HEIGHTS IRRIGATION CO.,Private,N,UNKNOWN; H.E. ROWBOTHAM,Earth,HEZ,RSZ,Irrigation,Irrigation,1911,1954SM,1645,20,20,20,20,612,2868,1732,2868,258,4.93,Y,41038,1,U,29,S1,33509,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
PENROSE,,100231,CO00438,0,,-104.8522,38.7749,"S2 , T15S, R67W of Sixth PM",EL PASO,SPRING RUN-TR,COLORADO SPRINGS UTILITIES,Local Government,N,,Earth,,,Irrigation,Irrigation,1917,,460,40,50,26,50,371,55,43,55,3,0.05,Y,41008,1,U,6,,NA,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Doug Lamborn (R),R,CO05
RESERVOIR C,,9133,CA10325,0,,-120.7722,41.6597,,MODOC,,USDA FS,Federal,N,,Earth,,,Fish and Wildlife Pond,"Fire Protection, Stock, Or Small Fish Pond, Fish and Wildlife Pond",1911,,850,20,20,18,20,845,NA,2028,2028,NA,14.3,NR,,0,,20,S,884000,NA,0,NA,N,N,N,N,N,,USDA FS,USDA FS,USDA FS,USDA FS,USDA FS,USDA FS,USDA FS,,USDA FS,CA,03\13\2013,NA,Doug LaMalfa (R),R,CA01
TELLER LAKE NO. 5 - EAST,"HOFFMAN LAKE, DEXTER LAKE, DAVIDSON LAKE",CO00000523,CO00253,0,,-105.1361,40.0391,"S20 , T1N, R69W of Sixth PM",BOULDER,DRY CREEK-TR,CITY OF BOULDER/OPEN SPACE,Local Government,N,USDA NRCS,Earth,,,Irrigation,"Irrigation, Recreation",1911,1949,670,10,12,9,12,683,235,130,235,35,0.23,NR,39302,6,U,50,,NA,NA,0,NA,Y,Y,Y,Y,Y,DWR,,USDA NRCS,,,,,,,CO,CO,02\04\2013,NA,Jared Polis (D),D,CO02
BECKWITH,HAYDEN,CO00000496,CO00489,0,,-104.8622,37.9449,"S23 , T24S, R67W of Sixth PM",PUEBLO,GREENHORN CREEK-OS,COLORADO CITY METRO. DISTRICT,Local Government,N,USDA NRCS,Earth,H,R,Irrigation,"Irrigation, Water Supply, Recreation",1911,1977,513,55,60,55,60,2150,2144,1033,2144,64,0.75,Y,41044,1,U,30,,63500,NA,0,NA,Y,Y,Y,Y,Y,DWR,,USDA NRCS,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
LONE CONE,,600112,CO00161,0,,-108.2572,38.0049,"S12 , T43N, R13W of New Mexico PM",SAN MIGUEL,GOSHORN CREEK,LONE CONE DITCH & RESERVIOIR CO.,Private,N,,Earth,HEK,RK,Irrigation,Irrigation,1912,,2900,25,27,27,27,3450,1708,1840,1840,177,1.09,Y,41037,1,N,20,U;S,84983,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
FOOTHILLS,,50124,CO00173,0,,-105.2199,40.189,"S34 , T3N, R70W of Sixth PM",BOULDER,ST. VRAIN CREEK-TR,HIGHLAND DITCH COMPANY,Private,N,R.E. RICHARDSON; ROCKY MOUNTAIN CONSULTANTS; SMITH GEOTECHNICAL,Earth,HEZ,RSZ,Irrigation,Irrigation,1911,1987S; 2001SH,3150,52,56,52,56,5350,4983,4139,4983,183,1.71,Y,41061,1,U,222,1S,46666,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Jared Polis (D),D,CO02
LONE STAR #1,,400405,CO00592,0,,-108.1905,38.8116,"S25 , T14S, R97W of Sixth PM",DELTA,ALKALI CREEK-TR,WHITING FARMS INC.,Private,N,,Earth,HEZ,SZ,Irrigation,Irrigation,1914,,950,47,47,47,47,465,504,480,504,7,0.06,NR,40316,6,N,27,U;V,59393,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
HOPKINS,,380113,CO00680,0,,-107.2088,39.5333,"S15 , T6S, R88W of Sixth PM",GARFIELD,LANDIS CREEK-TR,SPRING VALLEY HOLDINGS LLC,Private,N,UNKNOWN,Earth,HEZ,RSZ,Irrigation,Irrigation,1912,,600,20,21,20,21,285,114,70,114,13,0.55,Y,39596,0,U,19,S1,10889,NA,0,NA,Y,Y,Y,Y,Y,DWR,,,,,,,,,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03
RANCHO CIELITO,,808,CA00761,0,,-117.7088,33.9768,"S.22,T.2S,R.8W",SAN BERNARDINO,TR CHINO CREEK,ROLLING RIDGE RANCH,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1912,,1000,9,NA,6.9,9,1390,160,110,160,25,0.8,NR,40833,1,U,0,,6000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Edward R. Royce (R),R,CA39
MISSELBECK,RAINBOW LAKE,2220.002,CA01027,0,,-122.697,40.5002,"S.31,T.31N,R.7W",SHASTA,NFK COTTONWOOD CR,IGO-ONO COMMUNITY SERVICES DISTRICT,Public Utility,N,,Earth,,R,Irrigation,"Irrigation, Water Supply",1920,,470,110,NA,96,110,16100,5200,3600,5200,113,12,NR,41060,1,U,0,,350000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
SAN DIEGUITO,,1075,CA00906,0,,-117.1974,33.0405,"S.16,T.13S,R.3W",SAN DIEGO,TR ESCONDIDO CR,SANTA FE IRRIGATION & SAN DIEGUITO WATER DISTRICT,Public Utility,N,,Multi-Arch,,R,Irrigation,"Irrigation, Water Supply",1918,,650,51,NA,50,51,878,953,883,953,56,1.4,NR,40809,1,U,0,,2435,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Darrell E. Issa (R),R,CA49
CORTE MADERA,,837,CA00774,0,,-116.5781,32.7761,"S.16,T.16S,R.4E",SAN DIEGO,TR PINE VALLEY CR,RANCHO CORTE MADERA INC,Private,N,,Earth,,S,Recreation,"Water Supply, Recreation",1919,,200,16,NA,7.5,16,1700,1370,325,1370,69,2.5,NR,40658,1,U,0,,3500,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Juan Vargas (D),D,CA51
LAST CHANCE WEIR,,723,CA00716,0,,-119.6667,36.4201,"S.26,T.17S,R.21E",KINGS,KINGS RIVER,LAST CHANCE WATER DITCH CO,Private,N,,Buttress,,S,Irrigation,Irrigation,1919,,143,24,NA,11.6,24,NA,50,50,50,9,850,NR,40583,1,C,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,David G. Valadao (R),R,CA21
DEADHORSE FLAT,,9124,CA10234,0,,-120.95,41.675,"S.5,T.44N,R.9E",MODOC,TR MOWITZ CREEK,FOREST SERVICE,Federal,N,,Earth,,,Water Supply,Water Supply,1920,,775,7,NA,NA,7,NA,1100,1100,1100,166,5.7,NR,,1,U,0,,4826,NA,0,NA,N,N,N,N,N,,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
"HODGES, LAKE",,8.003,CA00108,0,,-117.1291,33.0458,"S.18,T.13S,R.2W",SAN DIEGO,SAN DIEGUITO RIVER,CITY OF SAN DIEGO,Local Government,N,,Multi-Arch,,R,Water Supply,Water Supply,1918,,729,131,NA,116,131,65124,64700,37700,64700,1317,303,NR,40869,1,U,0,,18128,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Scott H. Peters (D),D,CA52
MAGALIA,,73,CA00296,0,,-121.5844,39.8146,"S.25,T.23N,R.3E",BUTTE,LITTLE BUTTE CR,PARADISE IRRIGATION DIST,Public Utility,N,,Earth,,R,Irrigation,"Irrigation, Water Supply",1918,,830,103,NA,89.2,103,14497,4600,2900,4600,96,11.8,NR,40814,1,U,0,,263000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
GRAVEN,,134,CA00472,0,,-120.6708,41.2882,"S.23,T.40N,R.11E",MODOC,TR CANYON CREEK,FREDERICK R. & MILDRED ANKLIN,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1917,,1630,15,NA,11.69,15,1500,1760,1100,1760,214,6,NR,40864,1,U,0,,10000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
S-X,ESSEX,112,CA00461,0,,-120.7489,41.5125,"S.6,T.42N,R.11E",MODOC,TR PIT RIVER,"DSLR, LLC",Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1917,,650,45,NA,36.6,45,3400,4225,4225,4225,330,12,NR,40848,1,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
LUNDY LAKE,MILL CREEK,01390-01-01,CA00451,1,,-119.2208,38.0319,"S.16,T.2N,R.25E,MDM",MONO,MILL CREEK,SOUTHERN CALIFORNIA EDISON COMPANY,Private,Y,,,ICZ,RSZ,Hydroelectric,"Hydroelectric, Recreation",1911,,690,48,NA,NA,48,8400,4113,4113,4113,132,NA,Y,41134,1,U,150,,66000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Paul Cook (R),R,CA08
CACHE CREEK,CLEAR LAKE,1080,CA00911,0,,-122.5662,38.9229,"S.6,T.12N,R.6W",LAKE,CACHE CREEK,YOLO COUNTY FCWC DISTRICT,Local Government,N,,Gravity,,R,Irrigation,"Irrigation, Water Supply",1914,,260,30,NA,27.5,30,29300,420000,315000,420000,43800,514,Y,40933,1,C,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Mike Thompson (D),D,CA05
FAIRMONT,,6.008,CA00071,0,,-118.4274,34.7048,"S.12,T.7N,R.15W",LOS ANGELES,ANTELOPE VALLEY,CITY OF LOS ANGELES,Local Government,N,,Earth,,R,Flood Control,"Flood Control, Recreation",1912,,4300,121,NA,112,121,NA,9082,7507,9082,172,2.64,NR,40813,1,U,0,,696300,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Howard P. ???Buck??? McKeon (R),R,CA25
DRY CANYON,,6.005,CA00068,0,,-118.5292,34.4812,"S.35,T.5N,R.16W",LOS ANGELES,DRY CANYON CR,CITY OF LOS ANGELES,Local Government,N,,Earth,,RS,Hydroelectric,"Irrigation, Hydroelectric, Water Supply",1912,,780,66,NA,57.39,66,NA,1660,1140,1660,58,4.5,NR,40813,1,U,0,,360000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Howard P. ???Buck??? McKeon (R),R,CA25
DEVILS GATE,,32.003,CA00189,0,,-118.1756,34.1852,"S.7,T.1N,R.12W",LOS ANGELES,ARROYO SECO,LOS ANGELES COUNTY DEPARTMENT OF PUBLIC WORKS,Local Government,N,,Gravity,,R,Flood Control,"Flood Control, Water Supply",1920,,252,108,NA,73.5,108,34034,8400,2600,8400,110,29.7,NR,40982,1,U,0,,34000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Judy Chu (D),D,CA27
MOCKINGBIRD CANYON,,81.003,CA00305,0,,-117.4156,33.8952,"S.21,T.3S,R.5W",RIVERSIDE,MOCKINGBIRD CAN,CITY OF RIVERSIDE,Local Government,N,,Earth,,RS,Irrigation,"Irrigation, Water Supply",1914,,1525,74,NA,55,74,3339,NA,1250,1250,64,13.13,NR,40808,1,U,0,,140000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Mark Takano (D),D,CA41
DRUM FOREBAY,,02310-26-01,CA00350,1,,-120.7506,39.2508,"S.16,T.16N,R.11E",PLACER,DRUM CANAL,PACIFIC GAS AND ELECTRIC COMPANY,Private,N,,Earth,,,Hydroelectric,Hydroelectric,1913,,4107,65,65.29,60.29,65.29,2600,621,520,621,23,NA,Y,41100,1,U,107,,350000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,FERC,FERC,,,,FERC,CA,02\28\2013,NA,Doug LaMalfa (R),R,CA01
BIG DOBE NORTH,RAKER AND THOMAS,129,CA00467,0,,-120.5636,41.6332,"S.22,T.44N,R.12E",MODOC,TR RATTLESNAKE CR,RONALD SCHLUTER,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1912,,365,9,NA,7,9,600,9730,6530,9730,1600,17,NR,41039,1,U,0,,7500,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
LAKE VAN NORDEN,,7000.12,CA00362,0,,-120.377,39.322,"S.23,T.17N,R.14E",NEVADA,SOUTH YUBA RIVER,DOUGLAS WILSON COMPANIES,Private,N,,Earth,,,Water Supply,Water Supply,1916,,1633,10,NA,NA,10,NA,NA,300,300,NA,12,NR,40883,1,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
GILMORE,,571,CA00655,0,,-120.9907,38.0445,"S.9,T.2N,R.9E",SAN JOAQUIN,TR MORMON SLOUGH,SUSAN GRUPE DEPOLO AND LUANNE GRUPE ROTTICCI,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1918,,1080,28,NA,21.19,28,4240,550,550,550,52,4.89,NR,40927,1,U,0,,40000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jerry McNerney (D),D,CA09
PECONOM,,1228,CA00938,0,,-120.6027,40.4441,"S.23,T.30N,R.12E",LASSEN,ANTELOPE VAL,JOHN FITZGERALD,Private,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1920,0,470,15,15,10,15,2250,393,173,393,41,9,NR,40805,1,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,USDA NRCS,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
CHINO RANCH #1,,2025,CA00755,0,,-117.7866,33.9898,"S.14,T.2S,R.9W",SAN BERNARDINO,TONNER CANYON CR,CITY OF INDUSTRY URBAN DEVELOPMENT AGENCY,Local Government,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1918,,460,22,NA,17.5,22,1396,249,137,249,20,2,NR,40833,1,U,0,,15000,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Edward R. Royce (R),R,CA39
SILACCI,,650,CA01545,0,,-121.5619,36.7006,"S.20,T.14S,R.4E",MONTEREY,UNNAMED,PETE SILACCI,Private,N,,Earth,,,Irrigation,Irrigation,1915,,750,32,NA,29,32,NA,NA,133.19,133.19,13,NA,NR,,1,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Sam Farr (D),D,CA20
LAKE TAHOE,,9000.162,CA10162,0,,-120.144,39.1671,,PLACER,TRUCKEE RIVER,DOI BR,Federal,N,,,A,RK,Irrigation,Irrigation,1913,,109,18,18,10.1,18,NA,732000,732000,732000,120000,519,Y,40664,1,N,0,,400,NA,0,NA,N,N,N,N,N,N/A,DOI BR,,,USDA FS,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,CA,03\01\2013,NA,Tom McClintock (R),R,CA04
JOHNSTON,,605.002,CA00667,0,,-122.4238,37.454,"S.32,T.5S,R.5W",SAN MATEO,ARROYO LEON,PENINSULA OPEN SPACE TRUST,Private,N,,Gravity,,R,Other,Other,1919,,132,31,NA,27,31,4630,30,30,30,5,7.6,NR,40990,1,U,0,,190,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Jackie Speier (D),D,CA14
LEE LAKE,,818.002,CA00766,0,,-117.4458,33.7502,"S.7,T.5S,R.5W",RIVERSIDE,TEMESCAL CREEK,ELSINORE VALLEY MUN WD,Public Utility,N,,Earth,,RS,Irrigation,"Irrigation, Water Supply",1919,,520,47,NA,31,47,6560,2800,1100,2800,70,53,NR,41045,1,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Ken Calvert (R),R,CA42
MUD,,1085,CA00913,0,,-120.1689,36.5636,"S.1,T.16S,R.16E",FRESNO,FRESNO SLOUGH,JAMES IRRIGATION DISTRICT,Public Utility,N,,Earth,,S,Irrigation,"Irrigation, Water Supply",1919,,127,14,NA,13,14,NA,304,304,304,38,NA,NR,40584,1,C,0,,44437,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,David G. Valadao (R),R,CA21
ANTELOPE,DUCASSE,2230,CA00955,0,,-120.4819,40.8356,"S.3,T.34N,R.13E",LASSEN,MADELINE PLAINS,ROBERT HARVEY,Private,N,,Earth,,S,Water Supply,Water Supply,1918,,1185,15,NA,11.9,15,100,1950,1500,1950,300,4,NR,41037,1,U,0,,NA,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Doug LaMalfa (R),R,CA01
CENTURY,,1.071,CA00740,0,,-118.7333,34.0985,"S.11,T.1S,R.18W",LOS ANGELES,MALIBU CREEK,CALIFORNIA DEPARTMENT OF PARKS & RECREATION,State,N,,Arch,,RS,Recreation,"Water Supply, Recreation",1913,,149,44,NA,39,44,3000,190,70,190,7,68.1,NR,40764,1,U,0,,1550,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Henry A. Waxman (D),D,CA33
TUOLUMNE LOG POND,,558,CA00653,0,,-120.2442,37.9581,"S.8,T.1N,R.16E",TUOLUMNE,TURN BACK CREEK,TUOLUMNE BOND ME WUK INDIANS,Private,N,,Gravity,,S,Recreation,"Water Supply, Recreation",1912,,450,22,NA,20.5,22,3892,335,120,335,16,10.8,NR,40714,1,C,0,,10293,NA,0,NA,Y,Y,Y,Y,Y,Division of Safety of Dams,,,,,,,,,CA,CA,03\01\2013,NA,Tom McClintock (R),R,CA04
